Id,Receiving Time,Generated Time,Service Facility,IPv4 Address,DeviceVendor,DeviceProduct,DeviceVersion,SignatureID,Name,Severity,EventId
115,2021-08-04 15:53:1,2021-08-04 15:53:11,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,927,Smart Protection Server Connected for Smart Scan,3,115
116,2021-08-04 15:53:1,2021-08-04 15:53:11,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,710,Events Retrieved,3,116
117,2021-08-04 15:53:1,2021-08-04 15:53:16,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,117
118,2021-08-04 15:53:1,2021-08-04 15:53:16,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,118
119,2021-08-04 15:53:2,2021-08-04 15:53:21,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,119
120,2021-08-04 15:53:2,2021-08-04 15:53:21,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,120
121,2021-08-04 15:53:2,2021-08-04 15:53:21,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,632,Syslog Configuration Updated,3,121
122,2021-08-04 15:53:2,2021-08-04 15:53:21,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,122
123,2021-08-04 15:53:2,2021-08-04 15:53:26,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,720,Policy Sent,3,123
124,2021-08-04 15:53:2,2021-08-04 15:53:26,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,710,Events Retrieved,3,124
125,2021-08-04 15:53:2,2021-08-04 15:53:26,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,720,Policy Sent,3,125
126,2021-08-04 15:53:2,2021-08-04 15:53:26,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,720,Policy Sent,3,126
127,2021-08-04 15:53:2,2021-08-04 15:53:26,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,720,Policy Sent,3,127
